Academic Year,LEA Number,LEA Name,School Number,School Name,Assessment,Tested Count,Level 1: Did not yet meet expectations - Count,Level 1: Did not yet meet expectations - Percent,Level 2: Partially met expectations - Count,Level 2: Partially met expectations - Percent,Level 3: Approached expectations - Count,Level 3: Approached expectations - Percent,Level 4: Met expectations - Count,Level 4: Met expectations - Percent,Level 5: Exceeded expectations - Count,Level 5: Exceeded expectations - Percent,Create Date
2015,02,Anne Arundel,2102,Folger Mckinsey Elementary,Mathematics Grade 5,102,*,<= 5.0,8,7.8,18,17.6,62,60.8,13,12.7,20160108
2015,02,Anne Arundel,2112,Fort Smallwood Elementary,English/Language Arts Grade 3,70,5,7.1,7,10,17,24.3,37,52.9,4,5.7,20160108
2015,02,Anne Arundel,2112,Fort Smallwood Elementary,English/Language Arts Grade 4,71,*,<= 5.0,12,16.9,15,21.1,34,47.9,8,11.3,20160108
2015,02,Anne Arundel,2112,Fort Smallwood Elementary,English/Language Arts Grade 5,60,4,6.7,11,18.3,19,31.7,24,40,*,<= 5.0,20160108
2015,02,Anne Arundel,2112,Fort Smallwood Elementary,Mathematics Grade 3,70,5,7.1,12,17.1,14,20,36,51.4,*,<= 5.0,20160108
2015,02,Anne Arundel,2112,Fort Smallwood Elementary,Mathematics Grade 4,71,9,12.7,17,23.9,22,31,22,31,*,<= 5.0,20160108
2015,02,Anne Arundel,2112,Fort Smallwood Elementary,Mathematics Grade 5,60,*,<= 5.0,17,28.3,20,33.3,19,31.7,*,<= 5.0,20160108
2015,02,Anne Arundel,2132,High Point Elementary,English/Language Arts Grade 3,115,7,6.1,25,21.7,26,22.6,53,46.1,*,<= 5.0,20160108
2015,02,Anne Arundel,2132,High Point Elementary,English/Language Arts Grade 4,107,12,11.2,22,20.6,27,25.2,36,33.6,10,9.3,20160108
2015,02,Anne Arundel,2132,High Point Elementary,English/Language Arts Grade 5,96,13,13.5,27,28.1,26,27.1,30,31.3,*,<= 5.0,20160108
2015,02,Anne Arundel,2132,High Point Elementary,Mathematics Grade 3,114,11,9.6,24,21.1,32,28.1,41,36,6,5.3,20160108
2015,02,Anne Arundel,2132,High Point Elementary,Mathematics Grade 4,107,*,<= 5.0,37,34.6,24,22.4,39,36.4,*,<= 5.0,20160108
2015,02,Anne Arundel,2132,High Point Elementary,Mathematics Grade 5,96,12,12.5,36,37.5,29,30.2,18,18.8,*,<= 5.0,20160108
2015,02,Anne Arundel,2142,Jacobsville Elementary,English/Language Arts Grade 3,86,8,9.3,15,17.4,18,20.9,40,46.5,5,5.8,20160108
2015,02,Anne Arundel,2142,Jacobsville Elementary,English/Language Arts Grade 4,78,*,<= 5.0,14,17.9,25,32.1,26,33.3,10,12.8,20160108
2015,02,Anne Arundel,2142,Jacobsville Elementary,English/Language Arts Grade 5,98,6,6.1,18,18.4,34,34.7,39,39.8,*,<= 5.0,20160108
2015,02,Anne Arundel,2142,Jacobsville Elementary,Mathematics Grade 3,86,*,<= 5.0,17,19.8,24,27.9,36,41.9,6,7,20160108
2015,02,Anne Arundel,2142,Jacobsville Elementary,Mathematics Grade 4,78,*,<= 5.0,22,28.2,20,25.6,33,42.3,*,<= 5.0,20160108
2015,02,Anne Arundel,2142,Jacobsville Elementary,Mathematics Grade 5,98,*,<= 5.0,25,25.5,43,43.9,27,27.6,*,<= 5.0,20160108
2015,02,Anne Arundel,2152,Jones Elementary,English/Language Arts Grade 3,40,*,<= 5.0,3,7.5,6,15,23,57.5,7,17.5,20160108
2015,02,Anne Arundel,2152,Jones Elementary,English/Language Arts Grade 4,46,*,<= 5.0,*,<= 5.0,8,17.4,24,52.2,13,28.3,20160108
2015,02,Anne Arundel,2152,Jones Elementary,English/Language Arts Grade 5,52,*,<= 5.0,3,5.8,8,15.4,32,61.5,9,17.3,20160108
2015,02,Anne Arundel,2152,Jones Elementary,Mathematics Grade 3,40,*,<= 5.0,6,15,9,22.5,20,50,4,10,20160108
2015,02,Anne Arundel,2152,Jones Elementary,Mathematics Grade 4,46,*,<= 5.0,5,10.9,10,21.7,24,52.2,7,15.2,20160108
2015,02,Anne Arundel,2152,Jones Elementary,Mathematics Grade 5,52,*,<= 5.0,8,15.4,11,21.2,25,48.1,8,15.4,20160108
2015,02,Anne Arundel,2162,Lake Shore Elementary,English/Language Arts Grade 3,47,3,6.4,7,14.9,10,21.3,23,48.9,4,8.5,20160108
2015,02,Anne Arundel,2162,Lake Shore Elementary,English/Language Arts Grade 4,50,*,<= 5.0,8,16,10,20,25,50,6,12,20160108
2015,02,Anne Arundel,2162,Lake Shore Elementary,English/Language Arts Grade 5,48,*,<= 5.0,14,29.2,15,31.3,19,39.6,*,<= 5.0,20160108
2015,02,Anne Arundel,2162,Lake Shore Elementary,Mathematics Grade 3,47,*,<= 5.0,12,25.5,12,25.5,14,29.8,7,14.9,20160108
2015,02,Anne Arundel,2162,Lake Shore Elementary,Mathematics Grade 4,50,*,<= 5.0,15,30,14,28,18,36,*,<= 5.0,20160108
2015,02,Anne Arundel,2162,Lake Shore Elementary,Mathematics Grade 5,48,*,<= 5.0,19,39.6,15,31.3,12,25,*,<= 5.0,20160108
2015,02,Anne Arundel,2172,Oak Hill Elementary,English/Language Arts Grade 3,94,9,9.6,14,14.9,12,12.8,46,48.9,13,13.8,20160108
2015,02,Anne Arundel,2172,Oak Hill Elementary,English/Language Arts Grade 4,103,*,<= 5.0,6,5.8,15,14.6,57,55.3,21,20.4,20160108
2015,02,Anne Arundel,2172,Oak Hill Elementary,English/Language Arts Grade 5,94,6,6.4,7,7.4,20,21.3,50,53.2,11,11.7,20160108
2015,02,Anne Arundel,2172,Oak Hill Elementary,Mathematics Grade 3,94,9,9.6,13,13.8,24,25.5,37,39.4,11,11.7,20160108
2015,02,Anne Arundel,2172,Oak Hill Elementary,Mathematics Grade 4,103,*,<= 5.0,18,17.5,27,26.2,55,53.4,*,<= 5.0,20160108
2015,02,Anne Arundel,2172,Oak Hill Elementary,Mathematics Grade 5,94,*,<= 5.0,13,13.8,30,31.9,38,40.4,11,11.7,20160108
2015,02,Anne Arundel,2182,Pasadena Elementary,English/Language Arts Grade 3,53,4,7.5,4,7.5,16,30.2,28,52.8,*,<= 5.0,20160108
